index,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
17-08-2020,13475.0,12200.0,11350.0,13900.0,12800.0,16300.0,14275.0
18-08-2020,13450.0,12200.0,11300.0,13900.0,12800.0,16300.0,14250.0
19-08-2020,13450.0,12200.0,11300.0,13900.0,12800.0,16300.0,14250.0
20-08-2020,13450.0,12200.0,11300.0,13900.0,12800.0,16300.0,14216.666666666666
21-08-2020,13450.0,12200.0,11300.0,13900.0,12800.0,16300.0,14183.333333333334
24-08-2020,13450.0,12200.0,11300.0,13900.0,12800.0,16300.0,14150.0
25-08-2020,13450.0,12200.0,11300.0,13900.0,12800.0,16300.0,14150.0
26-08-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
27-08-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
28-08-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
31-08-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
01-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
02-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
03-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
04-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
07-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
08-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
09-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
10-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
11-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
14-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
15-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
16-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
17-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
